contractID,Reentrancy,Access Control,Arithmetic,Unchecked Return Values,DoS,Bad Randomness,Front Running,Time manipulation
1,0,0,0,0,1,0,0,0
4,1,1,0,1,0,0,0,0
5,0,0,0,1,1,0,0,0
6,1,1,1,1,1,0,0,1
7,0,0,0,0,1,0,0,0
9,1,0,0,0,0,0,0,0
10,1,1,1,0,1,0,1,0
11,1,1,1,0,1,0,1,0
12,0,0,0,0,1,0,0,0
14,0,0,0,0,1,0,0,0
15,0,1,0,0,0,0,0,0
16,1,1,0,0,0,0,0,0
18,1,1,0,1,1,0,1,0
19,1,0,0,0,0,0,0,0
20,1,1,1,0,0,0,0,0
21,0,1,0,0,1,0,0,0
22,0,1,0,0,0,0,0,1
23,1,1,0,0,0,0,0,0
24,0,1,1,0,0,0,0,0
25,0,1,0,1,0,0,0,0
26,0,1,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0
28,0,1,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0
30,1,1,1,0,0,0,0,0
31,1,1,1,0,1,0,0,0
32,1,0,0,0,0,0,0,0
34,0,0,1,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,1,1,1,0,1,0,0,0
37,0,1,1,0,1,0,0,0
39,0,1,0,0,0,0,0,0
40,1,1,0,0,1,0,0,1
42,0,1,1,0,0,0,0,0
43,0,1,0,0,0,0,0,0
44,0,1,0,0,0,0,0,0
46,1,1,1,1,0,0,0,0
47,1,1,1,0,1,0,1,1
48,0,1,0,0,0,0,0,0
49,1,1,1,0,0,0,0,0
50,1,1,0,0,1,0,0,1
51,1,1,0,0,0,0,0,1
52,0,1,1,0,0,0,0,0
53,0,1,0,0,0,0,0,0
54,0,1,0,0,0,0,0,0
55,0,1,0,0,0,0,0,0
56,1,1,1,1,1,0,0,1
57,1,1,1,0,0,0,0,1
58,1,0,1,1,1,0,0,1
59,1,1,0,1,0,0,0,0
60,0,0,1,0,0,0,0,0
61,0,1,0,0,0,0,1,0
62,1,1,1,0,0,0,0,0
64,0,1,0,0,0,0,0,0
