contractID,Reentrancy,Access Control,Arithmetic,Unchecked Return Values,DoS,Bad Randomness,Front Running,Time manipulation
buggy_1419_TOD,1,1,1,0,1,0,1,0
buggy_2978_TOD,1,1,0,0,0,0,1,1
buggy_4322_TOD,0,1,0,1,0,0,1,0
buggy_2801_TOD,0,1,0,0,0,0,1,0
buggy_17618_TOD,1,1,0,0,1,0,1,0
buggy_3580_TOD,0,1,0,0,0,0,1,1
buggy_9246_TOD,0,1,0,0,0,0,1,1
buggy_13905_TOD,1,1,0,0,0,0,1,0
buggy_9300_TOD,1,1,1,0,0,0,1,1
buggy_8420_TOD,1,1,1,0,0,1,1,1
buggy_980_TOD,1,0,0,0,0,0,1,0
buggy_174_TOD,0,1,0,0,0,0,1,0
buggy_4658_TOD,0,0,0,1,1,0,1,0
buggy_19300_TOD,0,1,1,0,0,0,1,0
buggy_829_TOD,0,1,0,0,0,0,1,0
buggy_12857_TOD,0,1,0,0,0,0,1,0
buggy_8108_TOD,0,1,1,0,0,0,1,0
buggy_14062_TOD,1,1,1,1,1,0,1,0
buggy_9241_TOD,1,0,1,0,1,0,1,1
buggy_3093_TOD,0,1,0,0,0,0,1,0
buggy_4390_TOD,1,1,0,0,0,0,1,0
buggy_2452_TOD,1,1,1,0,1,0,1,0
buggy_10018_TOD,0,1,1,0,0,0,1,1
buggy_7330_TOD,0,1,0,0,0,0,1,1
buggy_2714_TOD,0,1,1,0,0,0,1,1
buggy_16048_TOD,1,1,1,0,0,0,1,1
buggy_4900_TOD,1,1,1,0,1,0,1,0
buggy_19092_TOD,0,1,0,0,0,0,1,1
buggy_5733_TOD,0,0,0,0,0,0,1,0
buggy_12642_TOD,0,1,0,1,0,0,1,0
buggy_9705_TOD,0,1,0,0,0,0,1,0
buggy_2554_TOD,1,1,0,1,1,0,1,0
buggy_2304_TOD,0,1,0,0,0,0,1,0
buggy_8293_TOD,0,1,0,0,0,0,1,1
buggy_20600_TOD,0,1,1,0,0,0,1,0
