canon_hash,group_size,representative_kept,collapsed_ids
952138a981e7d0b81e3c621f3dea381e1c3c74b4d89a656b18bd0ce9df308f03,241,31,71;108;113;120;151;298;324;341;443;460;466;468;476;525;828;898;978;1082;1363;1457;1469;2042;2049;2053;2062;2072;2342;2348;2367;2377;2427;2448;2453;2498;2552;2655;2675;2765;2793;2813;3022;3029;3047;3048;3110;3174;3420;3558;3613;3676;3733;3826;3837;3863;3886;3887;3908;3999;4187;4200;4208;4239;4262;4307;4366;4382;4390;4439;4512;4770;4914;5040;5084;5098;5115;5136;5139;5141;5221;5320;5381;5479;5903;5964;5997;6042;6073;6111;6264;6401;6589;6648;6659;6884;6892;7266;7397;7437;7458;7524;7574;7601;7631;7658;7671;7724;7825;7858;7951;8070;8089;8100;8185;8233;8434;8570;8670;8702;8766;9157;9239;9302;9517;9591;9655;9663;9766;9793;9802;9825;9826;9865;9913;10070;10152;10264;10286;10319;10327;10330;10365;10414;10462;10501;10556;10572;10582;10608;10680;10682;10722;10920;10943;10977;11009;11016;11042;11196;11242;11309;11381;11981;11995;12445;12620;13390;13593;13681;13693;13805;13820;13847;13965;14057;14078;14293;14331;14796;14843;14917;15300;15458;15533;15633;15792;15800;15926;15951;15969;15983;15986;16121;16192;16447;16530;16615;16630;16643;16677;16816;16838;16940;16955;17047;17286;17333;17362;17383;17415;17472;17528;17541;17571;17609;17665;17711;17840;17901;18184;18225;18698;18736;18770;18922;18957;18982;19044;19096;19115;19333;19445;19574;19605;19660;19679;19776;19808;19876;19890;19938
452b37a737d6cebd99b83fd05f3aec79577f520aa74c04da8b4de3cfece693ca,164,401,785;920;1108;1118;1294;1737;1839;1917;1930;2015;2291;2352;2934;3037;3202;3247;3492;3578;3719;3732;3927;4090;4177;4316;4443;4448;4560;4582;4597;4742;4963;5003;5100;5355;5630;5691;5722;5816;5892;6183;6649;6709;6962;6978;7168;7373;7635;8093;8119;8205;8213;8497;8574;8615;8808;8874;8888;8917;8924;9089;9122;9355;9385;9406;9433;9671;10514;10578;10886;11174;11248;11430;11443;11469;11479;11497;11577;11588;11665;11721;11745;11899;12016;12043;12218;12228;12266;12472;12498;12542;12611;12743;12893;12995;13003;13182;13187;13296;13306;13501;13872;14362;14448;14676;14832;14904;14936;15013;15015;15037;15102;15217;15266;15279;15330;15416;15459;15645;15685;15735;15766;15828;16025;16074;16323;16349;16368;16444;16522;16552;16586;16701;16813;16930;16956;17405;17627;17768;17817;17834;17954;17990;18269;18272;18431;18545;18572;18602;18939;19185;19241;19688;19855;19897;20049;20096;20105;20180;20211;20245;20256;20320;20456
79ad3cea57d65967b79ed0492a00d9b756a35b8c7650f2b369136300a19536ba,84,186,200;451;531;774;1367;1523;1960;1967;2112;2141;2143;2150;2254;2488;2531;3398;3618;3623;3841;4708;4786;4866;5395;5492;5732;5787;5942;5972;6113;6127;6313;6583;6610;6765;6958;6966;6982;6994;7065;7079;7738;8073;8159;8441;8522;8532;8671;9186;9199;9273;9900;10184;10517;11407;11711;11804;12075;12079;12166;12259;12632;12911;12953;12960;13788;13984;14315;14990;15707;15984;16161;16550;16689;16716;16921;17011;17267;17535;18086;18186;18693;18951;19352
fc6b411bdbaeae38d1fcb74a2cbd842c708727b2884727bcb44facf012b1c195,64,252,447;592;710;810;975;1943;2333;3004;3519;3695;3739;3791;4182;4629;4687;4846;4998;5232;5308;5466;5988;6008;6287;6386;6413;6771;7098;7536;7736;7970;7973;8386;8433;8480;8493;9256;9261;10094;10272;10318;10344;10379;10533;10679;10856;11893;12268;12331;12605;13795;14257;14885;15317;16449;16469;16505;17102;17533;18799;18815;19323;19363;19837
e4bbde0ae2e800a017fda0e5253b9776c8223ad34182969d8fb7e0967f442855,60,403,524;584;1202;1278;1468;1971;1981;2040;2193;2407;2987;3445;3595;4013;4522;4740;5056;5370;5937;6112;6877;7051;7656;8103;8375;8399;8424;8568;8610;8625;8693;8738;9175;9689;10170;10568;10797;11287;11932;12126;12464;13636;13962;14071;14983;15947;16069;16142;16146;16160;16489;16516;17048;17294;18623;18652;19759;20863;21697
f44bf78c0e4a35f71bd156eb3fd7e7b9e5071f4261b9d9892b51c78807711015,53,98,406;517;1228;1716;2021;2175;2469;2474;2527;2598;2601;2619;2827;3112;3722;4456;4691;5128;5217;6094;6354;6423;6629;7260;8710;9301;9310;9741;9885;9975;9979;9981;10146;10375;11392;12878;13831;14892;15242;15876;15877;15936;17558;17662;17846;17953;18595;19022;19122;19709;19726;19812
fea48819650ffc42778673df5603b9f2858b568d62536682a149c4e7a86247bb,48,891,907;1923;2350;2433;3761;3855;4054;4415;4591;5248;7257;7385;7863;7922;9065;9075;9369;9390;9698;10036;10832;11271;11688;11738;11765;12351;13735;14121;14123;14314;14458;14520;14685;15114;15171;15361;15447;15479;15738;15809;16423;16646;16647;16812;18253;18254;19504
d3eb0ce3e1265bde90709d2d7dbd704ad1bcaa2ba93f22b091a39a2d6a7856bd,45,154,269;693;1318;1399;1517;1565;3395;3559;4362;4363;4728;4772;5240;5446;5739;5785;6442;6543;6803;7359;7774;7871;8111;8167;8667;9620;9700;9750;9862;9883;9926;10822;10828;11958;14290;14328;14332;14793;15801;16520;18031;18188;19552;19929
da598ccf3077c8b531bb4a85c761ad4d2c16e49f1c2016ea5d089060f56ff2a6,44,34,83;114;135;803;961;1175;1366;1472;2303;2423;2501;2546;3450;3690;3957;5193;5233;7080;7476;7530;7605;7969;7998;9633;9678;9795;9851;11916;12141;12243;14590;14774;14858;15563;16086;16730;17830;18687;18818;19222;19557;19907;19909
d313fcdc68a60df59dcdaa51fa3ebab4cecff6f9c7757235c48ab693ca785ac0,43,1383,1447;1513;1539;2129;2379;2468;2476;2593;2650;3892;4544;4637;4730;5182;7108;7533;7596;7630;8172;8461;8500;8759;9721;9765;9931;10024;10056;10236;10692;10903;11421;12004;12309;13960;14565;15637;16554;17759;19107;19295;19827;21648
